#   H/He  AMS02(2011/05-2013/11)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
2.031750e+00 1.920000e+00 2.150000e+00 8.279000e+00 1.000000e-02 1.000000e-02 2.280000e-01 2.280000e-01 2.282192e-01 2.282192e-01
2.271560e+00 2.150000e+00 2.400000e+00 7.814000e+00 9.000000e-03 9.000000e-03 1.930000e-01 1.930000e-01 1.932097e-01 1.932097e-01
2.531400e+00 2.400000e+00 2.670000e+00 7.495000e+00 8.000000e-03 8.000000e-03 1.710000e-01 1.710000e-01 1.711870e-01 1.711870e-01
2.816010e+00 2.670000e+00 2.970000e+00 7.156000e+00 7.000000e-03 7.000000e-03 1.530000e-01 1.530000e-01 1.531600e-01 1.531600e-01
3.125910e+00 2.970000e+00 3.290000e+00 6.902000e+00 6.000000e-03 6.000000e-03 1.420000e-01 1.420000e-01 1.421267e-01 1.421267e-01
3.460580e+00 3.290000e+00 3.640000e+00 6.721000e+00 6.000000e-03 6.000000e-03 1.350000e-01 1.350000e-01 1.351333e-01 1.351333e-01
3.825280e+00 3.640000e+00 4.020000e+00 6.575000e+00 6.000000e-03 6.000000e-03 1.280000e-01 1.280000e-01 1.281405e-01 1.281405e-01
4.220020e+00 4.020000e+00 4.430000e+00 6.480000e+00 5.000000e-03 5.000000e-03 1.240000e-01 1.240000e-01 1.241008e-01 1.241008e-01
4.649560e+00 4.430000e+00 4.880000e+00 6.391000e+00 5.000000e-03 5.000000e-03 1.200000e-01 1.200000e-01 1.201041e-01 1.201041e-01
5.119140e+00 4.880000e+00 5.370000e+00 6.311000e+00 5.000000e-03 5.000000e-03 1.170000e-01 1.170000e-01 1.171068e-01 1.171068e-01
5.628770e+00 5.370000e+00 5.900000e+00 6.234000e+00 5.000000e-03 5.000000e-03 1.140000e-01 1.140000e-01 1.141096e-01 1.141096e-01
6.178430e+00 5.900000e+00 6.470000e+00 6.167000e+00 5.000000e-03 5.000000e-03 1.110000e-01 1.110000e-01 1.111126e-01 1.111126e-01
6.772910e+00 6.470000e+00 7.090000e+00 6.089000e+00 5.000000e-03 5.000000e-03 1.080000e-01 1.080000e-01 1.081157e-01 1.081157e-01
7.417440e+00 7.090000e+00 7.760000e+00 6.011000e+00 5.000000e-03 5.000000e-03 1.060000e-01 1.060000e-01 1.061179e-01 1.061179e-01
8.112020e+00 7.760000e+00 8.480000e+00 5.932000e+00 5.000000e-03 5.000000e-03 1.030000e-01 1.030000e-01 1.031213e-01 1.031213e-01
8.861420e+00 8.480000e+00 9.260000e+00 5.852000e+00 5.000000e-03 5.000000e-03 1.010000e-01 1.010000e-01 1.011237e-01 1.011237e-01
9.670880e+00 9.260000e+00 1.010000e+01 5.747000e+00 5.000000e-03 5.000000e-03 9.800000e-02 9.800000e-02 9.812747e-02 9.812747e-02
1.054040e+01 1.010000e+01 1.100000e+01 5.665000e+00 5.000000e-03 5.000000e-03 9.700000e-02 9.700000e-02 9.712878e-02 9.712878e-02
1.148910e+01 1.100000e+01 1.200000e+01 5.603000e+00 5.000000e-03 5.000000e-03 9.600000e-02 9.600000e-02 9.613012e-02 9.613012e-02
1.249000e+01 1.200000e+01 1.300000e+01 5.522000e+00 6.000000e-03 6.000000e-03 9.400000e-02 9.400000e-02 9.419129e-02 9.419129e-02
1.353880e+01 1.300000e+01 1.410000e+01 5.467000e+00 6.000000e-03 6.000000e-03 9.300000e-02 9.300000e-02 9.319335e-02 9.319335e-02
1.468770e+01 1.410000e+01 1.530000e+01 5.415000e+00 6.000000e-03 6.000000e-03 9.200000e-02 9.200000e-02 9.219544e-02 9.219544e-02
1.593670e+01 1.530000e+01 1.660000e+01 5.347000e+00 6.000000e-03 6.000000e-03 9.100000e-02 9.100000e-02 9.119759e-02 9.119759e-02
1.728580e+01 1.660000e+01 1.800000e+01 5.285000e+00 6.000000e-03 6.000000e-03 9.000000e-02 9.000000e-02 9.019978e-02 9.019978e-02
1.873500e+01 1.800000e+01 1.950000e+01 5.229000e+00 6.000000e-03 6.000000e-03 8.900000e-02 8.900000e-02 8.920202e-02 8.920202e-02
2.028420e+01 1.950000e+01 2.110000e+01 5.202000e+00 6.000000e-03 6.000000e-03 8.900000e-02 8.900000e-02 8.920202e-02 8.920202e-02
2.193350e+01 2.110000e+01 2.280000e+01 5.165000e+00 7.000000e-03 7.000000e-03 8.800000e-02 8.800000e-02 8.827797e-02 8.827797e-02
2.373100e+01 2.280000e+01 2.470000e+01 5.114000e+00 7.000000e-03 7.000000e-03 8.800000e-02 8.800000e-02 8.827797e-02 8.827797e-02
