#   H/He  BESS-PolarI(2004/12)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
1.304000e+00 1.283000e+00 1.325000e+00 1.331000e+01 1.400000e-01 1.400000e-01 3.600000e-01 3.600000e-01 3.862642e-01 3.862642e-01
1.346000e+00 1.325000e+00 1.367000e+00 1.231000e+01 1.200000e-01 1.200000e-01 3.200000e-01 3.200000e-01 3.417601e-01 3.417601e-01
1.389000e+00 1.367000e+00 1.412000e+00 1.202000e+01 1.100000e-01 1.100000e-01 3.100000e-01 3.100000e-01 3.289377e-01 3.289377e-01
1.435000e+00 1.412000e+00 1.458000e+00 1.150000e+01 1.000000e-01 1.000000e-01 2.900000e-01 2.900000e-01 3.067572e-01 3.067572e-01
1.482000e+00 1.458000e+00 1.506000e+00 1.095000e+01 1.000000e-01 1.000000e-01 2.700000e-01 2.700000e-01 2.879236e-01 2.879236e-01
1.530000e+00 1.506000e+00 1.555000e+00 1.075000e+01 9.000000e-02 9.000000e-02 2.700000e-01 2.700000e-01 2.846050e-01 2.846050e-01
1.581000e+00 1.555000e+00 1.607000e+00 1.034000e+01 8.000000e-02 8.000000e-02 2.500000e-01 2.500000e-01 2.624881e-01 2.624881e-01
1.634000e+00 1.607000e+00 1.661000e+00 1.016000e+01 8.000000e-02 8.000000e-02 2.400000e-01 2.400000e-01 2.529822e-01 2.529822e-01
1.688000e+00 1.661000e+00 1.717000e+00 9.814000e+00 7.600000e-02 7.600000e-02 2.320000e-01 2.320000e-01 2.441311e-01 2.441311e-01
1.745000e+00 1.717000e+00 1.774000e+00 9.571000e+00 7.200000e-02 7.200000e-02 2.220000e-01 2.220000e-01 2.333838e-01 2.333838e-01
1.805000e+00 1.774000e+00 1.835000e+00 9.130000e+00 6.700000e-02 6.700000e-02 2.090000e-01 2.090000e-01 2.194767e-01 2.194767e-01
1.866000e+00 1.835000e+00 1.898000e+00 8.871000e+00 6.300000e-02 6.300000e-02 2.040000e-01 2.040000e-01 2.135064e-01 2.135064e-01
1.930000e+00 1.898000e+00 1.964000e+00 8.740000e+00 6.100000e-02 6.100000e-02 2.000000e-01 2.000000e-01 2.090957e-01 2.090957e-01
1.997000e+00 1.964000e+00 2.032000e+00 8.464000e+00 5.800000e-02 5.800000e-02 1.930000e-01 1.930000e-01 2.015267e-01 2.015267e-01
2.067000e+00 2.032000e+00 2.103000e+00 8.220000e+00 5.500000e-02 5.500000e-02 1.880000e-01 1.880000e-01 1.958801e-01 1.958801e-01
2.140000e+00 2.103000e+00 2.178000e+00 8.055000e+00 5.300000e-02 5.300000e-02 1.860000e-01 1.860000e-01 1.934037e-01 1.934037e-01
2.216000e+00 2.178000e+00 2.255000e+00 7.815000e+00 5.000000e-02 5.000000e-02 1.820000e-01 1.820000e-01 1.887432e-01 1.887432e-01
2.295000e+00 2.255000e+00 2.336000e+00 7.662000e+00 4.900000e-02 4.900000e-02 1.820000e-01 1.820000e-01 1.884808e-01 1.884808e-01
2.378000e+00 2.336000e+00 2.421000e+00 7.604000e+00 4.800000e-02 4.800000e-02 1.790000e-01 1.790000e-01 1.853240e-01 1.853240e-01
2.465000e+00 2.421000e+00 2.510000e+00 7.419000e+00 4.600000e-02 4.600000e-02 1.790000e-01 1.790000e-01 1.848161e-01 1.848161e-01
2.555000e+00 2.510000e+00 2.601000e+00 7.165000e+00 4.400000e-02 4.400000e-02 1.750000e-01 1.750000e-01 1.804467e-01 1.804467e-01
2.650000e+00 2.601000e+00 2.699000e+00 7.096000e+00 4.300000e-02 4.300000e-02 1.760000e-01 1.760000e-01 1.811767e-01 1.811767e-01
2.749000e+00 2.699000e+00 2.800000e+00 7.004000e+00 4.200000e-02 4.200000e-02 1.740000e-01 1.740000e-01 1.789972e-01 1.789972e-01
2.853000e+00 2.800000e+00 2.907000e+00 6.863000e+00 4.100000e-02 4.100000e-02 1.730000e-01 1.730000e-01 1.777920e-01 1.777920e-01
2.961000e+00 2.907000e+00 3.018000e+00 6.687000e+00 4.000000e-02 4.000000e-02 1.690000e-01 1.690000e-01 1.736692e-01 1.736692e-01
3.075000e+00 3.018000e+00 3.134000e+00 6.652000e+00 4.000000e-02 4.000000e-02 1.700000e-01 1.700000e-01 1.746425e-01 1.746425e-01
3.194000e+00 3.134000e+00 3.256000e+00 6.494000e+00 3.800000e-02 3.800000e-02 1.650000e-01 1.650000e-01 1.693192e-01 1.693192e-01
3.319000e+00 3.256000e+00 3.385000e+00 6.580000e+00 3.900000e-02 3.900000e-02 1.680000e-01 1.680000e-01 1.724674e-01 1.724674e-01
3.474000e+00 3.385000e+00 3.566000e+00 6.463000e+00 3.400000e-02 3.400000e-02 1.640000e-01 1.640000e-01 1.674873e-01 1.674873e-01
3.661000e+00 3.566000e+00 3.759000e+00 6.408000e+00 3.400000e-02 3.400000e-02 1.630000e-01 1.620000e-01 1.665083e-01 1.655295e-01
3.861000e+00 3.759000e+00 3.966000e+00 6.299000e+00 3.300000e-02 3.300000e-02 1.620000e-01 1.580000e-01 1.653269e-01 1.614094e-01
