#   H/He  BESS-PolarII(2007/12-2008/01)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
1.304000e+00 1.283000e+00 1.325000e+00 1.163000e+01 3.000000e-02 3.000000e-02 3.400000e-01 3.400000e-01 3.413210e-01 3.413210e-01
1.346000e+00 1.325000e+00 1.367000e+00 1.118000e+01 3.000000e-02 3.000000e-02 3.200000e-01 3.200000e-01 3.214032e-01 3.214032e-01
1.389000e+00 1.367000e+00 1.412000e+00 1.074000e+01 2.000000e-02 2.000000e-02 3.000000e-01 3.000000e-01 3.006659e-01 3.006659e-01
1.435000e+00 1.412000e+00 1.458000e+00 1.039000e+01 2.000000e-02 2.000000e-02 2.900000e-01 2.900000e-01 2.906888e-01 2.906888e-01
1.482000e+00 1.458000e+00 1.506000e+00 1.008000e+01 2.000000e-02 2.000000e-02 2.800000e-01 2.800000e-01 2.807134e-01 2.807134e-01
1.530000e+00 1.506000e+00 1.555000e+00 9.720000e+00 2.100000e-02 2.100000e-02 2.650000e-01 2.650000e-01 2.658308e-01 2.658308e-01
1.581000e+00 1.555000e+00 1.607000e+00 9.504000e+00 2.000000e-02 2.000000e-02 2.550000e-01 2.550000e-01 2.557831e-01 2.557831e-01
1.634000e+00 1.607000e+00 1.661000e+00 9.173000e+00 1.900000e-02 1.900000e-02 2.410000e-01 2.410000e-01 2.417478e-01 2.417478e-01
1.688000e+00 1.661000e+00 1.717000e+00 8.932000e+00 1.800000e-02 1.800000e-02 2.340000e-01 2.340000e-01 2.346913e-01 2.346913e-01
1.745000e+00 1.717000e+00 1.774000e+00 8.686000e+00 1.800000e-02 1.800000e-02 2.240000e-01 2.240000e-01 2.247221e-01 2.247221e-01
1.805000e+00 1.774000e+00 1.835000e+00 8.431000e+00 1.700000e-02 1.700000e-02 2.140000e-01 2.140000e-01 2.146742e-01 2.146742e-01
1.866000e+00 1.835000e+00 1.898000e+00 8.236000e+00 1.600000e-02 1.600000e-02 2.100000e-01 2.100000e-01 2.106086e-01 2.106086e-01
1.930000e+00 1.898000e+00 1.964000e+00 8.005000e+00 1.600000e-02 1.600000e-02 2.040000e-01 2.040000e-01 2.046265e-01 2.046265e-01
1.997000e+00 1.964000e+00 2.032000e+00 7.835000e+00 1.500000e-02 1.500000e-02 2.000000e-01 2.000000e-01 2.005617e-01 2.005617e-01
2.067000e+00 2.032000e+00 2.103000e+00 7.630000e+00 1.500000e-02 1.500000e-02 1.950000e-01 1.950000e-01 1.955761e-01 1.955761e-01
2.140000e+00 2.103000e+00 2.178000e+00 7.454000e+00 1.400000e-02 1.400000e-02 1.920000e-01 1.920000e-01 1.925097e-01 1.925097e-01
2.216000e+00 2.178000e+00 2.255000e+00 7.301000e+00 1.400000e-02 1.400000e-02 1.910000e-01 1.910000e-01 1.915124e-01 1.915124e-01
2.295000e+00 2.255000e+00 2.336000e+00 7.137000e+00 1.300000e-02 1.300000e-02 1.910000e-01 1.910000e-01 1.914419e-01 1.914419e-01
2.378000e+00 2.336000e+00 2.421000e+00 6.997000e+00 1.300000e-02 1.300000e-02 1.860000e-01 1.860000e-01 1.864537e-01 1.864537e-01
2.465000e+00 2.421000e+00 2.510000e+00 6.885000e+00 1.300000e-02 1.300000e-02 1.870000e-01 1.870000e-01 1.874513e-01 1.874513e-01
2.555000e+00 2.510000e+00 2.601000e+00 6.781000e+00 1.300000e-02 1.300000e-02 1.880000e-01 1.880000e-01 1.884489e-01 1.884489e-01
2.650000e+00 2.601000e+00 2.699000e+00 6.655000e+00 1.200000e-02 1.200000e-02 1.880000e-01 1.880000e-01 1.883826e-01 1.883826e-01
2.749000e+00 2.699000e+00 2.800000e+00 6.531000e+00 1.200000e-02 1.200000e-02 1.850000e-01 1.850000e-01 1.853888e-01 1.853888e-01
2.853000e+00 2.800000e+00 2.907000e+00 6.434000e+00 1.200000e-02 1.200000e-02 1.850000e-01 1.850000e-01 1.853888e-01 1.853888e-01
2.961000e+00 2.907000e+00 3.018000e+00 6.358000e+00 1.200000e-02 1.200000e-02 1.840000e-01 1.840000e-01 1.843909e-01 1.843909e-01
3.075000e+00 3.018000e+00 3.134000e+00 6.259000e+00 1.200000e-02 1.200000e-02 1.830000e-01 1.830000e-01 1.833930e-01 1.833930e-01
3.194000e+00 3.134000e+00 3.256000e+00 6.213000e+00 1.200000e-02 1.200000e-02 1.810000e-01 1.810000e-01 1.813974e-01 1.813974e-01
3.319000e+00 3.256000e+00 3.385000e+00 6.150000e+00 1.200000e-02 1.200000e-02 1.800000e-01 1.800000e-01 1.803996e-01 1.803996e-01
3.474000e+00 3.385000e+00 3.566000e+00 6.088000e+00 1.000000e-02 1.000000e-02 1.770000e-01 1.770000e-01 1.772823e-01 1.772823e-01
3.661000e+00 3.566000e+00 3.759000e+00 6.047000e+00 1.000000e-02 1.000000e-02 1.750000e-01 1.750000e-01 1.752855e-01 1.752855e-01
3.861000e+00 3.759000e+00 3.966000e+00 6.023000e+00 1.100000e-02 1.100000e-02 1.760000e-01 1.730000e-01 1.763434e-01 1.733494e-01
4.075000e+00 3.966000e+00 4.186000e+00 6.006000e+00 1.100000e-02 1.100000e-02 1.790000e-01 1.720000e-01 1.793377e-01 1.723514e-01
