#   H/He  PAMELA(2006/07-2008/12)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
1.010000e+00 1.010000e+00 1.010000e+00 2.720000e+01 2.000000e-01 2.000000e-01 1.000000e+00 1.000000e+00 1.019804e+00 1.019804e+00
1.060000e+00 1.060000e+00 1.060000e+00 2.170000e+01 2.000000e-01 2.000000e-01 1.000000e+00 1.000000e+00 1.019804e+00 1.019804e+00
1.110000e+00 1.110000e+00 1.110000e+00 1.830000e+01 1.000000e-01 1.000000e-01 8.000000e-01 8.000000e-01 8.062258e-01 8.062258e-01
1.160000e+00 1.160000e+00 1.160000e+00 1.553000e+01 9.000000e-02 9.000000e-02 7.000000e-01 7.000000e-01 7.057620e-01 7.057620e-01
1.220000e+00 1.220000e+00 1.220000e+00 1.398000e+01 8.000000e-02 8.000000e-02 6.000000e-01 6.000000e-01 6.053098e-01 6.053098e-01
1.280000e+00 1.280000e+00 1.280000e+00 1.273000e+01 7.000000e-02 7.000000e-02 6.000000e-01 6.000000e-01 6.040695e-01 6.040695e-01
1.340000e+00 1.340000e+00 1.340000e+00 1.185000e+01 6.000000e-02 6.000000e-02 5.000000e-01 5.000000e-01 5.035871e-01 5.035871e-01
1.400000e+00 1.400000e+00 1.400000e+00 1.114000e+01 5.000000e-02 5.000000e-02 5.000000e-01 5.000000e-01 5.024938e-01 5.024938e-01
1.470000e+00 1.470000e+00 1.470000e+00 1.064000e+01 5.000000e-02 5.000000e-02 5.000000e-01 5.000000e-01 5.024938e-01 5.024938e-01
1.540000e+00 1.540000e+00 1.540000e+00 1.023000e+01 4.000000e-02 4.000000e-02 5.000000e-01 5.000000e-01 5.015974e-01 5.015974e-01
1.610000e+00 1.610000e+00 1.610000e+00 9.760000e+00 4.000000e-02 4.000000e-02 4.000000e-01 4.000000e-01 4.019950e-01 4.019950e-01
1.680000e+00 1.680000e+00 1.680000e+00 9.450000e+00 4.000000e-02 4.000000e-02 4.000000e-01 4.000000e-01 4.019950e-01 4.019950e-01
1.760000e+00 1.760000e+00 1.760000e+00 9.220000e+00 4.000000e-02 4.000000e-02 4.000000e-01 4.000000e-01 4.019950e-01 4.019950e-01
1.850000e+00 1.850000e+00 1.850000e+00 8.960000e+00 3.000000e-02 3.000000e-02 4.000000e-01 4.000000e-01 4.011234e-01 4.011234e-01
1.930000e+00 1.930000e+00 1.930000e+00 8.610000e+00 3.000000e-02 3.000000e-02 4.000000e-01 4.000000e-01 4.011234e-01 4.011234e-01
2.020000e+00 2.020000e+00 2.020000e+00 8.310000e+00 3.000000e-02 3.000000e-02 4.000000e-01 4.000000e-01 4.011234e-01 4.011234e-01
2.120000e+00 2.120000e+00 2.120000e+00 8.120000e+00 3.000000e-02 3.000000e-02 4.000000e-01 4.000000e-01 4.011234e-01 4.011234e-01
2.220000e+00 2.220000e+00 2.220000e+00 7.980000e+00 3.000000e-02 3.000000e-02 4.000000e-01 4.000000e-01 4.011234e-01 4.011234e-01
2.320000e+00 2.320000e+00 2.320000e+00 7.840000e+00 3.000000e-02 3.000000e-02 4.000000e-01 4.000000e-01 4.011234e-01 4.011234e-01
2.430000e+00 2.430000e+00 2.430000e+00 7.630000e+00 3.000000e-02 3.000000e-02 3.000000e-01 3.000000e-01 3.014963e-01 3.014963e-01
2.550000e+00 2.550000e+00 2.550000e+00 7.440000e+00 3.000000e-02 3.000000e-02 3.000000e-01 3.000000e-01 3.014963e-01 3.014963e-01
2.670000e+00 2.670000e+00 2.670000e+00 7.330000e+00 3.000000e-02 3.000000e-02 3.000000e-01 3.000000e-01 3.014963e-01 3.014963e-01
2.790000e+00 2.790000e+00 2.790000e+00 7.230000e+00 3.000000e-02 3.000000e-02 3.000000e-01 3.000000e-01 3.014963e-01 3.014963e-01
2.920000e+00 2.920000e+00 2.920000e+00 7.240000e+00 3.000000e-02 3.000000e-02 3.000000e-01 3.000000e-01 3.014963e-01 3.014963e-01
3.060000e+00 3.060000e+00 3.060000e+00 7.080000e+00 3.000000e-02 3.000000e-02 3.000000e-01 3.000000e-01 3.014963e-01 3.014963e-01
3.210000e+00 3.210000e+00 3.210000e+00 6.970000e+00 3.000000e-02 3.000000e-02 3.000000e-01 3.000000e-01 3.014963e-01 3.014963e-01
3.360000e+00 3.360000e+00 3.360000e+00 6.920000e+00 3.000000e-02 3.000000e-02 3.000000e-01 3.000000e-01 3.014963e-01 3.014963e-01
3.520000e+00 3.520000e+00 3.520000e+00 6.890000e+00 3.000000e-02 3.000000e-02 3.000000e-01 3.000000e-01 3.014963e-01 3.014963e-01
3.680000e+00 3.680000e+00 3.680000e+00 6.880000e+00 3.000000e-02 3.000000e-02 3.000000e-01 3.000000e-01 3.014963e-01 3.014963e-01
3.860000e+00 3.860000e+00 3.860000e+00 6.720000e+00 3.000000e-02 3.000000e-02 3.000000e-01 3.000000e-01 3.014963e-01 3.014963e-01
4.040000e+00 4.040000e+00 4.040000e+00 6.700000e+00 3.000000e-02 3.000000e-02 3.000000e-01 3.000000e-01 3.014963e-01 3.014963e-01
4.230000e+00 4.230000e+00 4.230000e+00 6.630000e+00 3.000000e-02 3.000000e-02 3.000000e-01 3.000000e-01 3.014963e-01 3.014963e-01
4.430000e+00 4.430000e+00 4.430000e+00 6.620000e+00 3.000000e-02 3.000000e-02 3.000000e-01 3.000000e-01 3.014963e-01 3.014963e-01
4.640000e+00 4.640000e+00 4.640000e+00 6.580000e+00 3.000000e-02 3.000000e-02 3.000000e-01 3.000000e-01 3.014963e-01 3.014963e-01
4.850000e+00 4.850000e+00 4.850000e+00 6.540000e+00 3.000000e-02 3.000000e-02 3.000000e-01 3.000000e-01 3.014963e-01 3.014963e-01
5.080000e+00 5.080000e+00 5.080000e+00 6.490000e+00 3.000000e-02 3.000000e-02 3.000000e-01 3.000000e-01 3.014963e-01 3.014963e-01
5.450000e+00 5.450000e+00 5.450000e+00 6.380000e+00 2.000000e-02 2.000000e-02 3.000000e-01 3.000000e-01 3.006659e-01 3.006659e-01
5.970000e+00 5.970000e+00 5.970000e+00 6.340000e+00 2.000000e-02 2.000000e-02 3.000000e-01 3.000000e-01 3.006659e-01 3.006659e-01
6.550000e+00 6.550000e+00 6.550000e+00 6.260000e+00 2.000000e-02 2.000000e-02 3.000000e-01 3.000000e-01 3.006659e-01 3.006659e-01
7.180000e+00 7.180000e+00 7.180000e+00 6.190000e+00 2.000000e-02 2.000000e-02 3.000000e-01 3.000000e-01 3.006659e-01 3.006659e-01
7.870000e+00 7.870000e+00 7.870000e+00 6.130000e+00 2.000000e-02 2.000000e-02 3.000000e-01 3.000000e-01 3.006659e-01 3.006659e-01
8.630000e+00 8.630000e+00 8.630000e+00 6.030000e+00 2.000000e-02 2.000000e-02 3.000000e-01 3.000000e-01 3.006659e-01 3.006659e-01
9.460000e+00 9.460000e+00 9.460000e+00 6.030000e+00 2.000000e-02 2.000000e-02 3.000000e-01 3.000000e-01 3.006659e-01 3.006659e-01
1.038000e+01 1.038000e+01 1.038000e+01 5.990000e+00 2.000000e-02 2.000000e-02 3.000000e-01 3.000000e-01 3.006659e-01 3.006659e-01
1.138000e+01 1.138000e+01 1.138000e+01 5.920000e+00 3.000000e-02 3.000000e-02 3.000000e-01 3.000000e-01 3.014963e-01 3.014963e-01
1.247000e+01 1.247000e+01 1.247000e+01 5.790000e+00 3.000000e-02 3.000000e-02 3.000000e-01 3.000000e-01 3.014963e-01 3.014963e-01
1.368000e+01 1.368000e+01 1.368000e+01 5.810000e+00 3.000000e-02 3.000000e-02 3.000000e-01 3.000000e-01 3.014963e-01 3.014963e-01
1.500000e+01 1.500000e+01 1.500000e+01 5.740000e+00 3.000000e-02 3.000000e-02 3.000000e-01 3.000000e-01 3.014963e-01 3.014963e-01
1.644000e+01 1.644000e+01 1.644000e+01 5.640000e+00 3.000000e-02 3.000000e-02 3.000000e-01 3.000000e-01 3.014963e-01 3.014963e-01
1.803000e+01 1.803000e+01 1.803000e+01 5.630000e+00 3.000000e-02 3.000000e-02 3.000000e-01 3.000000e-01 3.014963e-01 3.014963e-01
1.977000e+01 1.977000e+01 1.977000e+01 5.600000e+00 3.000000e-02 3.000000e-02 3.000000e-01 3.000000e-01 3.014963e-01 3.014963e-01
2.168000e+01 2.168000e+01 2.168000e+01 5.410000e+00 3.000000e-02 3.000000e-02 2.000000e-01 2.000000e-01 2.022375e-01 2.022375e-01
2.377000e+01 2.377000e+01 2.377000e+01 5.520000e+00 4.000000e-02 4.000000e-02 3.000000e-01 3.000000e-01 3.026549e-01 3.026549e-01
2.606000e+01 2.606000e+01 2.606000e+01 5.470000e+00 4.000000e-02 4.000000e-02 3.000000e-01 3.000000e-01 3.026549e-01 3.026549e-01
2.857000e+01 2.857000e+01 2.857000e+01 5.270000e+00 4.000000e-02 4.000000e-02 2.000000e-01 2.000000e-01 2.039608e-01 2.039608e-01
3.133000e+01 3.133000e+01 3.133000e+01 5.400000e+00 4.000000e-02 4.000000e-02 2.000000e-01 2.000000e-01 2.039608e-01 2.039608e-01
3.435000e+01 3.435000e+01 3.435000e+01 5.270000e+00 5.000000e-02 5.000000e-02 2.000000e-01 2.000000e-01 2.061553e-01 2.061553e-01
3.767000e+01 3.767000e+01 3.767000e+01 5.200000e+00 5.000000e-02 5.000000e-02 2.000000e-01 2.000000e-01 2.061553e-01 2.061553e-01
4.130000e+01 4.130000e+01 4.130000e+01 5.120000e+00 5.000000e-02 5.000000e-02 2.000000e-01 2.000000e-01 2.061553e-01 2.061553e-01
4.529000e+01 4.529000e+01 4.529000e+01 4.990000e+00 6.000000e-02 6.000000e-02 2.000000e-01 2.000000e-01 2.088061e-01 2.088061e-01
4.966000e+01 4.966000e+01 4.966000e+01 5.110000e+00 6.000000e-02 6.000000e-02 2.000000e-01 2.000000e-01 2.088061e-01 2.088061e-01
5.445000e+01 5.445000e+01 5.445000e+01 5.090000e+00 7.000000e-02 7.000000e-02 2.000000e-01 2.000000e-01 2.118962e-01 2.118962e-01
5.970000e+01 5.970000e+01 5.970000e+01 5.040000e+00 7.000000e-02 7.000000e-02 2.000000e-01 2.000000e-01 2.118962e-01 2.118962e-01
6.546000e+01 6.546000e+01 6.546000e+01 4.950000e+00 8.000000e-02 8.000000e-02 2.000000e-01 2.000000e-01 2.154066e-01 2.154066e-01
7.177000e+01 7.177000e+01 7.177000e+01 4.960000e+00 8.000000e-02 8.000000e-02 2.000000e-01 2.000000e-01 2.154066e-01 2.154066e-01
7.870000e+01 7.870000e+01 7.870000e+01 5.090000e+00 9.000000e-02 9.000000e-02 2.000000e-01 2.000000e-01 2.193171e-01 2.193171e-01
8.629000e+01 8.629000e+01 8.629000e+01 4.900000e+00 1.000000e-01 1.000000e-01 2.000000e-01 2.000000e-01 2.236068e-01 2.236068e-01
9.462000e+01 9.462000e+01 9.462000e+01 4.600000e+00 1.000000e-01 1.000000e-01 2.000000e-01 2.000000e-01 2.236068e-01 2.236068e-01
