#Source: KCDC
#Ref: not available (none)
#Experiment: KASCADE (2011_EPOS-199)
#Y Quantity: allParticle
#X Quantity: totalEnergy
#Url: https://kcdc.ikp.kit.edu/spectra/
#Comments: From Marcel Finger PhD Thesis
#Colums: x, y, y total errors, y statistical errors
1.778e+06 6.142e-13 1.280e-14 1.280e-14 0.000e+00 0.000e+00 
2.239e+06 3.049e-13 7.208e-15 7.208e-15 0.000e+00 0.000e+00 
2.818e+06 1.635e-13 4.969e-15 4.969e-15 0.000e+00 0.000e+00 
3.548e+06 7.953e-14 3.066e-15 3.066e-15 0.000e+00 0.000e+00 
4.467e+06 4.304e-14 1.984e-15 1.984e-15 0.000e+00 0.000e+00 
5.623e+06 1.997e-14 1.424e-15 1.424e-15 0.000e+00 0.000e+00 
7.079e+06 1.222e-14 9.032e-16 9.032e-16 0.000e+00 0.000e+00 
8.913e+06 3.984e-15 5.049e-16 5.049e-16 0.000e+00 0.000e+00 
1.122e+07 2.843e-15 3.287e-16 3.287e-16 0.000e+00 0.000e+00 
1.413e+07 1.141e-15 1.883e-16 1.883e-16 0.000e+00 0.000e+00 
1.778e+07 7.007e-16 1.222e-16 1.222e-16 0.000e+00 0.000e+00 
2.239e+07 2.499e-16 6.559e-17 6.559e-17 0.000e+00 0.000e+00 
2.818e+07 2.208e-16 4.160e-17 4.160e-17 0.000e+00 0.000e+00 
3.548e+07 4.448e-17 1.392e-17 1.392e-17 0.000e+00 0.000e+00 
4.467e+07 4.100e-17 8.082e-18 8.082e-18 0.000e+00 0.000e+00 
5.623e+07 2.009e-17 6.358e-18 6.358e-18 0.000e+00 0.000e+00 
7.079e+07 8.157e-18 2.730e-18 2.730e-18 0.000e+00 0.000e+00 
8.913e+07 4.914e-18 2.192e-18 2.192e-18 0.000e+00 0.000e+00 
