#Source: KCDC
#Ref: not available (none)
#Experiment: KASCADE (2011_QGSJET-01)
#Y Quantity: H
#X Quantity: totalEnergy
#Url: https://kcdc.ikp.kit.edu/spectra/
#Comments: From Marcel Finger PhD Thesis
#Colums: x, y, y total errors, y statistical errors
1.122e+06 4.261e-13 0.000e+00 0.000e+00 2.571e-14 2.571e-14 
1.413e+06 2.489e-13 0.000e+00 0.000e+00 1.218e-14 1.218e-14 
1.778e+06 1.322e-13 0.000e+00 0.000e+00 6.441e-15 6.441e-15 
2.239e+06 6.021e-14 0.000e+00 0.000e+00 3.640e-15 3.640e-15 
2.820e+06 2.457e-14 0.000e+00 0.000e+00 1.911e-15 1.911e-15 
3.548e+06 1.078e-14 0.000e+00 0.000e+00 1.143e-15 1.143e-15 
4.467e+06 4.159e-15 0.000e+00 0.000e+00 6.362e-16 6.362e-16 
5.623e+06 1.243e-15 0.000e+00 0.000e+00 3.929e-16 3.929e-16 
7.079e+06 1.712e-16 0.000e+00 0.000e+00 1.693e-16 1.693e-16 
8.912e+06 8.446e-18 0.000e+00 0.000e+00 3.495e-17 3.495e-17 
1.122e+07 5.523e-19 0.000e+00 0.000e+00 1.666e-17 1.666e-17 
1.413e+07 2.020e-19 0.000e+00 0.000e+00 4.342e-18 4.342e-18 
1.778e+07 1.596e-19 0.000e+00 0.000e+00 2.189e-18 2.189e-18 
2.239e+07 2.542e-19 0.000e+00 0.000e+00 6.577e-18 6.577e-18 
2.820e+07 3.901e-19 0.000e+00 0.000e+00 1.617e-18 1.617e-18 
3.548e+07 4.402e-18 0.000e+00 0.000e+00 4.521e-18 4.521e-18 
4.467e+07 4.840e-18 0.000e+00 0.000e+00 3.283e-18 3.283e-18 
5.623e+07 2.421e-18 0.000e+00 0.000e+00 1.623e-18 1.623e-18 
7.079e+07 2.179e-21 0.000e+00 0.000e+00 1.119e-18 1.119e-18 
8.913e+07 9.399e-19 0.000e+00 0.000e+00 7.779e-19 7.779e-19 
