#Source: KCDC
#Ref: not available (none)
#Experiment: KASCADE (2011_QGSJET-01)
#Y Quantity: allParticle
#X Quantity: totalEnergy
#Url: https://kcdc.ikp.kit.edu/spectra/
#Comments: From Marcel Finger PhD Thesis
#Colums: x, y, y statistical errors, y systematic errors
1.778e+06 6.999e-13 0.000e+00 0.000e+00 1.415e-14 1.415e-14 
2.239e+06 3.461e-13 0.000e+00 0.000e+00 8.634e-15 8.634e-15 
2.818e+06 1.981e-13 0.000e+00 0.000e+00 5.788e-15 5.788e-15 
3.548e+06 9.778e-14 0.000e+00 0.000e+00 4.100e-15 4.100e-15 
4.467e+06 4.928e-14 0.000e+00 0.000e+00 2.195e-15 2.195e-15 
5.623e+06 2.734e-14 0.000e+00 0.000e+00 1.469e-15 1.469e-15 
7.079e+06 1.342e-14 0.000e+00 0.000e+00 1.037e-15 1.037e-15 
8.912e+06 6.769e-15 0.000e+00 0.000e+00 6.437e-16 6.437e-16 
1.122e+07 3.164e-15 0.000e+00 0.000e+00 3.472e-16 3.472e-16 
1.413e+07 1.707e-15 0.000e+00 0.000e+00 2.564e-16 2.564e-16 
1.778e+07 8.008e-16 0.000e+00 0.000e+00 1.499e-16 1.499e-16 
2.239e+07 4.335e-16 0.000e+00 0.000e+00 8.431e-17 8.431e-17 
2.818e+07 1.958e-16 0.000e+00 0.000e+00 5.581e-17 5.581e-17 
3.548e+07 1.204e-16 0.000e+00 0.000e+00 3.157e-17 3.157e-17 
4.467e+07 3.393e-17 0.000e+00 0.000e+00 1.228e-17 1.228e-17 
5.623e+07 2.924e-17 0.000e+00 0.000e+00 8.449e-18 8.449e-18 
7.079e+07 1.172e-17 0.000e+00 0.000e+00 3.656e-18 3.656e-18 
8.913e+07 6.339e-18 0.000e+00 0.000e+00 1.933e-18 1.933e-18 
