#Source: KCDC
#Ref: not available (none)
#Experiment: KASCADE (2011_QGSJET-II-02)
#Y Quantity: H
#X Quantity: totalEnergy
#Url: https://kcdc.ikp.kit.edu/spectra/
#Comments: From Marcel Finger PhD Thesis
#Colums: x, y, y total errors, y statistical errors
1.115e+06 3.316e-13 7.649e-15 7.649e-15 0.000e+00 0.000e+00 
1.413e+06 1.682e-13 3.975e-15 3.975e-15 0.000e+00 0.000e+00 
1.778e+06 8.060e-14 1.946e-15 1.946e-15 0.000e+00 0.000e+00 
2.239e+06 3.776e-14 1.054e-15 1.054e-15 0.000e+00 0.000e+00 
2.818e+06 1.798e-14 7.126e-16 7.126e-16 0.000e+00 0.000e+00 
3.548e+06 8.633e-15 5.237e-16 5.237e-16 0.000e+00 0.000e+00 
4.467e+06 3.939e-15 3.224e-16 3.224e-16 0.000e+00 0.000e+00 
5.623e+06 1.605e-15 1.827e-16 1.827e-16 0.000e+00 0.000e+00 
7.079e+06 6.043e-16 9.080e-17 9.080e-17 0.000e+00 0.000e+00 
8.913e+06 2.487e-16 4.592e-17 4.592e-17 0.000e+00 0.000e+00 
1.122e+07 9.766e-17 2.327e-17 2.327e-17 0.000e+00 0.000e+00 
1.413e+07 3.068e-17 1.035e-17 1.035e-17 0.000e+00 0.000e+00 
1.778e+07 1.679e-17 7.742e-18 7.742e-18 0.000e+00 0.000e+00 
2.239e+07 9.808e-18 4.588e-18 4.588e-18 0.000e+00 0.000e+00 
2.818e+07 2.311e-18 1.380e-18 1.380e-18 0.000e+00 0.000e+00 
3.548e+07 1.015e-18 1.285e-18 1.285e-18 0.000e+00 0.000e+00 
4.467e+07 5.554e-18 1.974e-18 1.974e-18 0.000e+00 0.000e+00 
5.623e+07 5.222e-19 1.711e-18 1.711e-18 0.000e+00 0.000e+00 
7.079e+07 2.796e-19 9.715e-19 9.715e-19 0.000e+00 0.000e+00 
8.913e+07 1.012e-18 6.432e-19 6.432e-19 0.000e+00 0.000e+00 
