#Source: KCDC
#Ref: not available (none)
#Experiment: KASCADE (2011_SIBYLL-2.1)
#Y Quantity: allParticle
#X Quantity: totalEnergy
#Url: https://kcdc.ikp.kit.edu/spectra/
#Comments: From Marcel Finger PhD Thesis
#Colums: x, y, y total errors, y statistical errors
1.778e+06 6.693e-13 0.000e+00 0.000e+00 5.224e-15 5.224e-15 
2.239e+06 3.264e-13 0.000e+00 0.000e+00 3.171e-15 3.171e-15 
2.818e+06 1.888e-13 0.000e+00 0.000e+00 2.401e-15 2.401e-15 
3.548e+06 1.057e-13 0.000e+00 0.000e+00 1.584e-15 1.584e-15 
4.467e+06 5.095e-14 0.000e+00 0.000e+00 1.023e-15 1.023e-15 
5.623e+06 2.603e-14 0.000e+00 0.000e+00 6.629e-16 6.629e-16 
7.079e+06 1.396e-14 0.000e+00 0.000e+00 4.448e-16 4.448e-16 
8.913e+06 6.377e-15 0.000e+00 0.000e+00 2.544e-16 2.544e-16 
1.122e+07 3.297e-15 0.000e+00 0.000e+00 1.575e-16 1.575e-16 
1.413e+07 1.588e-15 0.000e+00 0.000e+00 9.822e-17 9.822e-17 
1.778e+07 8.064e-16 0.000e+00 0.000e+00 6.761e-17 6.761e-17 
2.239e+07 3.927e-16 0.000e+00 0.000e+00 3.781e-17 3.781e-17 
2.818e+07 2.034e-16 0.000e+00 0.000e+00 2.432e-17 2.432e-17 
3.548e+07 9.897e-17 0.000e+00 0.000e+00 1.280e-17 1.280e-17 
4.467e+07 3.617e-17 0.000e+00 0.000e+00 6.436e-18 6.436e-18 
5.623e+07 2.683e-17 0.000e+00 0.000e+00 4.969e-18 4.969e-18 
7.079e+07 9.453e-18 0.000e+00 0.000e+00 2.654e-18 2.654e-18 
8.913e+07 4.061e-18 0.000e+00 0.000e+00 1.508e-18 1.508e-18 
